features	pron	subj	arity
▯ is a barista _BIAS _RAKU_che _2_RAKU_feche _ARITY_1	hó	sI	1
▯ is a coffee maker _BIAS _RAKU_kea _2_RAKU_fekea _ARITY_1	máq	sI	1
▯ is coffee grounds _BIAS _RAKU_puo _2_RAKU_fepuo _ARITY_1	máq	sI	1
▯ is caffeine _BIAS _RAKU_saı _2_RAKU_fesaı _ARITY_1	máq	sI	1
▯ coughs _BIAS _RAKU_ha _2_RAKU_kaha _ARITY_1	hó	sA	1
▯ is a cough as a condition _BIAS _RAKU_da _2_RAKU_'ıda _ARITY_1	máq	sI	1
▯ writes inscribes draws physical marking ▯ _BIAS _RAKU_kaı _ARITY_2	hó	sA	2
▯ writes ▯ _BIAS _RAKU_kaı _ARITY_2	hó	sA	2
▯ writes ▯ on ▯ _BIAS _RAKU_kaı _ARITY_3	hó	sA	3
▯ is a pen or pencil _BIAS _RAKU_beaq _2_RAKU_kaıbeaq _ARITY_1	máq	sI	1
▯ is an article web page _BIAS _RAKU_ce _2_RAKU_kaıce _ARITY_1	hóq	sI	1
▯ is a key on a keyboard _BIAS _RAKU_cıoq _2_RAKU_kaıcıoq _ARITY_1	máq	sI	1
▯ is a writing system encoding ▯ _BIAS _RAKU_cha _2_RAKU_kaıcha _ARITY_2	hóq	sI	2
▯ is a scribe _BIAS _RAKU_che _2_RAKU_kaıche _ARITY_1	hó	sI	1
▯ is a writing implement _BIAS _RAKU_chuo _2_RAKU_kaıchuo _ARITY_1	máq	sI	1
▯ is plain text _BIAS _RAKU_dao _2_RAKU_kaıdao _ARITY_1	máq	sI	1
▯ is graphology the study of written and printed symbols _BIAS _RAKU_dıu _2_RAKU_kaıdıu _ARITY_1	hóq	sI	1
▯ posts to channel group board ▯ message ▯ _BIAS _RAKU_do _2_RAKU_kaıdo _ARITY_3	hó	sA	3
▯ writes ▯ ▯ is a writer _BIAS _RAKU_fıeq _2_RAKU_kaıfıeq _ARITY_2	hó	sA	2
▯ is a writer _BIAS _RAKU_che _2_RAKU_fıeqche _ARITY_1	hó	sI	1
▯ is a desk _BIAS _RAKU_fua _2_RAKU_kaıfua _ARITY_1	máq	sI	1
▯ is a pencil _BIAS _RAKU_bo _2_RAKU_kabo _ARITY_1	máq	sI	1
▯ is a typewriter _BIAS _RAKU_kea _2_RAKU_kaıkea _ARITY_1	máq	sI	1
▯ is a keyboard typewriter text entry machine of some sort _BIAS _RAKU_kea _2_RAKU_kaıkea _ARITY_1	máq	sI	1
▯ is a key on a keyboard _BIAS _RAKU_toaı _2_RAKU_keatoaı _ARITY_1	máq	sI	1
▯ is a notebook _BIAS _RAKU_kue _2_RAKU_kaıkue _ARITY_1	máq	sI	1
▯ is a plain text file format _BIAS _RAKU_no _2_RAKU_kaıno _ARITY_1	hóq	sI	1
▯ is graphite _BIAS _RAKU_pıo _2_RAKU_kaıpıo _ARITY_1	máq	sI	1
▯ is text writing _BIAS _RAKU_se _2_RAKU_kaıse _ARITY_1	hóq	sI	1
▯ is a marking _BIAS _RAKU_se _2_RAKU_kaıse _ARITY_1	máq	sI	1
▯ is a mackerel stripy fishes of scombridae _BIAS _RAKU_bo _2_RAKU_sebo _ARITY_1	hó	sI	1
▯ has ▯ written on it _BIAS _RAKU_te _2_RAKU_kaıte _ARITY_2	máq	sI	2
▯ is a graphics tablet _BIAS _RAKU_kea _2_RAKU_toqkea _ARITY_1	máq	sI	1
▯ undergoes yet again the silly epiphany that what one sees beyond their glasses is not simply a mirage constructed with the help of their lenses but reality _BIAS _RAKU_cha _2_RAKU_jıcha _ARITY_1	hó	sI	1
▯ is a cocoa bean _BIAS _RAKU_seo _2_RAKU_faseo _ARITY_1	máq	sI	1
▯ is cocoa powder _BIAS _RAKU_puo _2_RAKU_kaopuo _ARITY_1	máq	sI	1
▯ decides ▯ _BIAS _RAKU_koe _2_RAKU_kakoe _ARITY_2	hó	sA	2
▯ is cringe ▯ is generally disliked _BIAS _RAKU_la _2_RAKU_kala _ARITY_1	tá	sF	1
▯ is a kalimba _BIAS _RAKU_ba _2_RAKU_lımba _ARITY_1	máq	sI	1
▯ expresses performative love i e love expressed via actions towards ▯ _BIAS _RAKU_kam _ARITY_2	hó	sA	2
▯ is the khmer language _BIAS _RAKU_zu _2_RAKU_kamzu _ARITY_1 _CAPS	hóq	sI	1
▯ pertains to the culture of cameroon republic of cameroon _BIAS _RAKU_ruq _2_RAKU_kamruq _ARITY_1 _CAPS	tá	sF	1
▯ is the country cameroon republic of cameroon _BIAS _RAKU_gua _2_RAKU_ruqgua _ARITY_1 _CAPS	máq	sI	1
▯ event is thanks to ▯ positive connotation _BIAS _RAKU_kam _ARITY_2	hóq	sE	2
▯ is wales _BIAS _RAKU_gua _2_RAKU_rıgua _ARITY_1 _CAPS	máq	sI	1
▯ pertains to the culture of canada _BIAS _RAKU_da _2_RAKU_nada _ARITY_1 _CAPS	tá	sF	1
▯ is canada _BIAS _RAKU_gua _2_RAKU_dagua _ARITY_1 _CAPS	máq	sI	1
▯ is the country canada _BIAS _RAKU_gua _2_RAKU_dagua _ARITY_1 _CAPS	máq	sI	1
▯ is a rabbit _BIAS _RAKU_nı _2_RAKU_kanı _ARITY_1	hó	sI	1
▯ is rabbit meat _BIAS _RAKU_nueq _2_RAKU_nınueq _ARITY_1	máq	sI	1
▯ is a spirit soul or ghost _BIAS _RAKU_tu _2_RAKU_nıtu _ARITY_1	hó	sI	1
▯ is a record _BIAS _RAKU_kao _ARITY_1	máq	sI	1
▯ is a record of information data ▯ _BIAS _RAKU_kao _ARITY_2	hóq	sI	2
▯ uploads sends to ▯ file ▯ _BIAS _RAKU_dıeq _2_RAKU_kaodıeq _ARITY_3	hó	sA	3
▯ uploads file ▯ _BIAS _RAKU_dıeq _2_RAKU_kaodıeq _ARITY_2	hó	sA	2
▯ is an archivist _BIAS _RAKU_che _2_RAKU_jache _ARITY_1	hó	sI	1
▯ downloads receives file ▯ from ▯ _BIAS _RAKU_juq _2_RAKU_kaojuq _ARITY_3	máq	sA	3
▯ downloads receives file ▯ _BIAS _RAKU_juq _2_RAKU_kaojuq _ARITY_2	máq	sA	2
▯ is a scribe _BIAS _RAKU_che _2_RAKU_kaıche _ARITY_1	hó	sI	1
▯ is limestone _BIAS _RAKU_pıo _2_RAKU_kıpıo _ARITY_1	máq	sI	1
▯ is a file _BIAS _RAKU_laı _2_RAKU_kaolaı _ARITY_1	hóq	sI	1
▯ is a link hyperlink _BIAS _RAKU_lıq _2_RAKU_kaolıq _ARITY_1	máq	sI	1
▯ is a file format _BIAS _RAKU_no _2_RAKU_kaono _ARITY_1	hóq	sI	1
▯ has official sex ▯ e g in official records _BIAS _RAKU_chı _2_RAKU_'uchı _ARITY_2	hó	sI	2
▯ is ransomware _BIAS _RAKU_rom _2_RAKU_toırom _ARITY_1	hóq	sI	1
▯ is an optical hard drive _BIAS _RAKU_sıoq _2_RAKU_kaosıoq _ARITY_1	máq	sI	1
▯ is a cappuccino _BIAS _RAKU_no _2_RAKU_chıno _ARITY_1	máq	sI	1
▯ sees ▯ _BIAS _RAKU_kaq _ARITY_2	hó	sI	2
▯ is visual optical ▯ pertains to the sense of sight vision _BIAS _RAKU_kaq _ARITY_1	tá	sF	1
▯ is blind _BIAS _RAKU_cıa _2_RAKU_kaqcıa _ARITY_1	hó	sI	1
▯ is an optical tool _BIAS _RAKU_chuo _2_RAKU_kaqchuo _ARITY_1	máq	sI	1
▯ is visually beautiful ▯ is pleasant to look at ▯ is pleasing to the eye _BIAS _RAKU_de _2_RAKU_kaqde _ARITY_1	tá	sS	1
▯ is blind _BIAS _RAKU_bu _2_RAKU_deqbu _ARITY_1	tá	sI	1
▯ is scandium _BIAS _RAKU_dıum _2_RAKU_kaqdıum _ARITY_1	máq	sI	1
▯ bites ▯ _BIAS _RAKU_ga _2_RAKU_kaqga _ARITY_2	hó	sA	2
▯ bites ▯ _BIAS _RAKU_ga _2_RAKU_kaqga _ARITY_2	hó	sA	2
▯ sees ▯ _BIAS _RAKU_gaı _2_RAKU_kaqgaı _ARITY_2	hó	sI	2
▯ is a film camera _BIAS _RAKU_kea _2_RAKU_gaıkea _ARITY_1	máq	sI	1
▯ looks good _BIAS _RAKU_gı _2_RAKU_kaqgı _ARITY_1	tá	sF	1
what does ▯ look like how does ▯ look _BIAS _RAKU_hıa _2_RAKU_kaqhıa _ARITY_2	tá	sF	2
▯ is an eye _BIAS _RAKU_hua _2_RAKU_kaqhua _ARITY_1	máq	sI	1
▯ is an eyelid _BIAS _RAKU_tıe _2_RAKU_huatıe _ARITY_1	máq	sI	1
▯ is a kanji _BIAS _RAKU_jı _2_RAKU_kaqjı _ARITY_1	hóq	sI	1
▯ is an eyeliner pencil _BIAS _RAKU_bo _2_RAKU_kabo _ARITY_1	máq	sI	1
▯ takes a look at ▯ _BIAS _RAKU_kaq _2_RAKU_kaqkaq _ARITY_2	hó	sA	2
▯ is visible _BIAS _RAKU_kıu _2_RAKU_kaqkıu _ARITY_1	tá	sF	1
▯ is invisible _BIAS _RAKU_bu _2_RAKU_kıubu _ARITY_1	tá	sF	1
▯ rolls their eyes _BIAS _RAKU_muoı _2_RAKU_kaqmuoı _ARITY_1	hó	sA	1
▯ is the kannada language _BIAS _RAKU_zu _2_RAKU_dazu _ARITY_1 _CAPS	hóq	sI	1
▯ looks as such like that _BIAS _RAKU_nu _2_RAKU_kaqnu _ARITY_1	tá	sF	1
▯ is a view a visual quale _BIAS _RAKU_nhuaı _2_RAKU_kaqnhuaı _ARITY_1	hóq	sF	1
▯ has visual perception ▯ visual quale raw view as opposed to the stimulus object or a proposition inferred from the perception _BIAS _RAKU_gaı _2_RAKU_nhuaıgaı _ARITY_2	hó	sI	2
▯ pertains to the culture of cambodia kingdom of cambodia _BIAS _RAKU_tıa _2_RAKU_putıa _ARITY_1 _CAPS	tá	sF	1
▯ is the country cambodia kingdom of cambodia _BIAS _RAKU_gua _2_RAKU_tıagua _ARITY_1 _CAPS	máq	sI	1
▯ has their eyes open _BIAS _RAKU_rıa _2_RAKU_kaqrıa _ARITY_1	hó	sI	1
▯ is wales _BIAS _RAKU_gua _2_RAKU_rıgua _ARITY_1	máq	sI	1
▯ is wales _BIAS _RAKU_gua _2_RAKU_rıgua _ARITY_1 _CAPS	máq	sI	1
▯ is the welsh language _BIAS _RAKU_zu _2_RAKU_rızu _ARITY_1 _CAPS	hóq	sI	1
▯ looks at watches ▯ _BIAS _RAKU_sı _2_RAKU_kaqsı _ARITY_2	hó	sA	2
▯ is calcite _BIAS _RAKU_pıo _2_RAKU_sıpıo _ARITY_1	máq	sI	1
▯ is visually similar to ▯ ▯ looks like ▯ _BIAS _RAKU_sıu _2_RAKU_kaqsıu _ARITY_2	tá	sS	2
▯ is blind or visually impaired _BIAS _RAKU_soeı _2_RAKU_kaqsoeı _ARITY_1	hó	sI	1
▯ are glasses _BIAS _RAKU_shıa _2_RAKU_kaqshıa _ARITY_1	máq	sI	1
▯ is a lens spectacle lens telescope lens photographic lens all alike _BIAS _RAKU_shıa _2_RAKU_kaqshıa _ARITY_1	máq	sI	1
▯ is a freak of nature an abberation a mutant _BIAS _RAKU_shoı _2_RAKU_kaqshoı _ARITY_1	hó	sI	1
▯ stares at ▯ _BIAS _RAKU_shue _2_RAKU_kaqshue _ARITY_2	hó	sA	2
▯ is a karaoke machine _BIAS _RAKU_kea _2_RAKU_kekea _ARITY_1	máq	sI	1
▯ is the karakalpak language _BIAS _RAKU_zu _2_RAKU_kazu _ARITY_1 _CAPS	hóq	sI	1
▯ is curry paste _BIAS _RAKU_sham _2_RAKU_rısham _ARITY_1	máq	sI	1
▯ is the georgian language kartveli ena _BIAS _RAKU_zu _2_RAKU_lızu _ARITY_1	hóq	sI	1
▯ is goated slang for the greatest of all time bụqgı _BIAS _RAKU_te _2_RAKU_rote _ARITY_1	tá	sF	1
▯ is a carrot _BIAS _RAKU_toq _2_RAKU_rotoq _ARITY_1	máq	sI	1
▯ makes ▯ true by virtue of saying it _BIAS _RAKU_ruaq _2_RAKU_karuaq _ARITY_2	hó	sA	2
▯ is the kazakh language _BIAS _RAKU_zu _2_RAKU_kazu _ARITY_1 _CAPS	hóq	sI	1
▯ is a nut _BIAS _RAKU_sı _2_RAKU_kası _ARITY_1	máq	sI	1
▯ is retired _BIAS _RAKU_sıaq _2_RAKU_kasıaq _ARITY_1	hó	sA	1
▯ studies flashcards _BIAS _RAKU_tao _2_RAKU_chıetao _ARITY_1	hó	sA	1
▯ is a cat _BIAS _RAKU_to _2_RAKU_kato _ARITY_1	hó	sI	1
▯ is a cat _BIAS _RAKU_to _2_RAKU_kato _ARITY_1	hó	sI	1
▯ is an illocution marking particle like ka da moq etc _BIAS _RAKU_toa _2_RAKU_katoa _ARITY_1	hóq	sI	1
▯ is a cat ears hat _BIAS _RAKU_chea _2_RAKU_tochea _ARITY_1	máq	sI	1
▯ is a catperson catboy catgirl _BIAS _RAKU_chu _2_RAKU_tochu _ARITY_1	hó	sI	1
▯ purrs _BIAS _RAKU_choa _2_RAKU_jaıchoa _ARITY_1	hó	sI	1
▯ is a catgirl _BIAS _RAKU_lıq _2_RAKU_tolıq _ARITY_1	hó	sI	1
▯ is catnip _BIAS _RAKU_po _2_RAKU_nıpo _ARITY_1	máq	sI	1
▯ is a gemstone displaying chatoyancy the cat s eye effect _BIAS _RAKU_pıo _2_RAKU_topıo _ARITY_1	máq	sI	1
▯ is a member of the genus ailuropoda the pandas _BIAS _RAKU_pue _2_RAKU_topue _ARITY_1	hó	sI	1
▯ is a feline center _BIAS _RAKU_rıaq _2_RAKU_torıaq _ARITY_1	máq	sI	1
▯ is a member of genus castor the beavers _BIAS _RAKU_ro _2_RAKU_toro _ARITY_1	hó	sI	1
▯ catfights with against ▯ _BIAS _RAKU_soı _2_RAKU_tosoı _ARITY_2	hó	sI	2
▯ is an eye _BIAS _RAKU_ꝡa _2_RAKU_kaꝡa _ARITY_1	máq	sI	1
▯ is a beat pulse throb _BIAS _RAKU_guo _2_RAKU_zeguo _ARITY_1	hóq	sI	1
▯ is a kazoo _BIAS _RAKU_zu _2_RAKU_kazu _ARITY_1	máq	sI	1
▯ is a machine apparatus _BIAS _RAKU_kea _ARITY_1	máq	sI	1
▯ is a machine apparatus performing function ▯ _BIAS _RAKU_kea _ARITY_2	máq	sI	2
▯ automates satisfying property ▯ _BIAS _RAKU_baı _2_RAKU_keabaı _ARITY_2	hó	sA	2
▯ operates drives runs machine ▯ _BIAS _RAKU_caq _2_RAKU_keacaq _ARITY_2	hó	sA	2
▯ is a device driver _BIAS _RAKU_rom _2_RAKU_caqrom _ARITY_1	máq	sI	1
▯ is a power tool _BIAS _RAKU_chuo _2_RAKU_keachuo _ARITY_1	máq	sI	1
▯ is mechanics technology the science of design and construction of machines _BIAS _RAKU_dıu _2_RAKU_keadıu _ARITY_1	hóq	sI	1
▯ is a screenshot _BIAS _RAKU_fuaq _2_RAKU_keafuaq _ARITY_1	hóq	sF	1
▯ takes a screenshot _BIAS _RAKU_tao _2_RAKU_fuaqtao _ARITY_1	hó	sA	1
▯ is a mechanical exoskeleton _BIAS _RAKU_fuq _2_RAKU_keafuq _ARITY_1	máq	sI	1
▯ perceives that ▯ is the case through machine empathy _BIAS _RAKU_gaı _2_RAKU_keagaı _ARITY_2	hó	sI	2
▯ has the right to satisfy property ▯ _BIAS _RAKU_keaı _ARITY_2	tá	sI	2
▯ has universal right ▯ _BIAS _RAKU_coı _2_RAKU_keaıcoı _ARITY_2	hó	sF	2
▯ property is a universal human right _BIAS _RAKU_ha _2_RAKU_coıha _ARITY_1	hóq	sF	1
▯ is a property that is everybody s right _BIAS _RAKU_se _2_RAKU_coıse _ARITY_1	hóq	sF	1
▯ feels entitled to satisfy property ▯ _BIAS _RAKU_jıe _2_RAKU_keaıjıe _ARITY_2	hó	sI	2
▯ is law giving one the freedom entitlement to satisfy property ▯ _BIAS _RAKU_juao _2_RAKU_keaıjuao _ARITY_2	hóq	sF	2
▯ is a permit license to satisfy property ▯ _BIAS _RAKU_kao _2_RAKU_keaıkao _ARITY_2	máq	sI	2
▯ is a ticket passport credential pass entitling one to satisfying property ▯ _BIAS _RAKU_laı _2_RAKU_keaılaı _ARITY_2	máq	sI	2
▯ is privileged in has the privilege of satisfying property ▯ _BIAS _RAKU_leı _2_RAKU_keaıleı _ARITY_2	hó	sI	2
▯ is a ticket pass _BIAS _RAKU_peq _2_RAKU_keaıpeq _ARITY_1	máq	sI	1
fork of amo6x sn1 ▯ are the settings concerning ▯ _BIAS _RAKU_juao _2_RAKU_keajuao _ARITY_2	hóq	sF	2
▯ compiles code ▯ into machine code _BIAS _RAKU_baı _2_RAKU_juaobaı _ARITY_2	máq	sI	2
▯ types text ▯ on machine ▯ _BIAS _RAKU_kaı _2_RAKU_keakaı _ARITY_3	hó	sA	3
▯ is a keyboard layout _BIAS _RAKU_teı _2_RAKU_kaıteı _ARITY_1	hóq	sF	1
▯ is a mechanic _BIAS _RAKU_che _2_RAKU_kıaıche _ARITY_1	hó	sI	1
▯ is a network connecting multiple computers or other devices _BIAS _RAKU_koaı _2_RAKU_keakoaı _ARITY_1	máq	sI	1
▯ is a webpage _BIAS _RAKU_kue _2_RAKU_keakue _ARITY_1	hóq	sI	1
▯ texts ▯ quote to ▯ _BIAS _RAKU_kuq _2_RAKU_keakuq _ARITY_3	hó	sA	3
▯ is x and all that x entails brings forth salient or contextual significance or connotation of a phrase _BIAS _RAKU_keam _ARITY_1	tá	sF	1
▯ is an artificial satellite _BIAS _RAKU_keam _ARITY_1	máq	sI	1
▯ is a robot android artificial intelligence sci fi sense machine person _BIAS _RAKU_poq _2_RAKU_keapoq _ARITY_1	hó	sI	1
▯ is salty _BIAS _RAKU_keaq _ARITY_1	tá	sI	1
▯ is salted _BIAS _RAKU_bo _2_RAKU_keaqbo _ARITY_1	tá	sI	1
▯ is unsalted _BIAS _RAKU_cıa _2_RAKU_keaqcıa _ARITY_1	tá	sI	1
▯ is marinated treated with brine _BIAS _RAKU_cuaı _2_RAKU_keaqcuaı _ARITY_1	máq	sI	1
▯ is a salt pan _BIAS _RAKU_guaq _2_RAKU_keaqguaq _ARITY_1	máq	sI	1
▯ is brined cucumber ▯ is a gherkin pickle _BIAS _RAKU_shu _2_RAKU_kushu _ARITY_1	máq	sI	1
▯ is pickled brined marinated _BIAS _RAKU_loeq _2_RAKU_keaqloeq _ARITY_1	tá	sI	1
▯ is salt _BIAS _RAKU_saı _2_RAKU_keaqsaı _ARITY_1	máq	sI	1
▯ is a salt shaker _BIAS _RAKU_heq _2_RAKU_saıheq _ARITY_1	máq	sI	1
▯ is brine _BIAS _RAKU_ze _2_RAKU_keaqze _ARITY_1	máq	sI	1
▯ is a cyborg _BIAS _RAKU_req _2_RAKU_keareq _ARITY_1	hó	sI	1
▯ is a cyborg _BIAS _RAKU_roa _2_RAKU_kearoa _ARITY_1	hó	sI	1
▯ is a programming language _BIAS _RAKU_zu _2_RAKU_keazu _ARITY_1	hóq	sI	1
▯ is a machine language bytecode assembly _BIAS _RAKU_zu _2_RAKU_keazu _ARITY_1	hóq	sI	1
▯ is a binary executable or library file _BIAS _RAKU_se _2_RAKU_zuse _ARITY_1	hóq	sF	1
▯ is a kelvin ▯ is ▯ number of property kelvin _BIAS _RAKU_bıq _2_RAKU_kebıq _ARITY_2	hóq	sI	2
▯ is a horse member of species equus ferus caballus _BIAS _RAKU_bo _2_RAKU_kebo _ARITY_1	hó	sI	1
▯ is a hinny _BIAS _RAKU_she _2_RAKU_'aqshe _ARITY_1	hó	sI	1
▯ is a horse barn _BIAS _RAKU_jıo _2_RAKU_bojıo _ARITY_1	máq	sI	1
▯ is ketchup _BIAS _RAKU_pa _2_RAKU_chapa _ARITY_1	máq	sI	1
▯ is a quechua language _BIAS _RAKU_zu _2_RAKU_chuazu _ARITY_1 _CAPS	hóq	sI	1
▯ is the planet pluto _BIAS _RAKU_meaı _2_RAKU_ruaımeaı _ARITY_1	máq	sI	1
▯ is a degree celsius _BIAS _RAKU_cıu _2_RAKU_keıcıu _ARITY_1	hóq	sI	1
▯ is cake _BIAS _RAKU_ke _2_RAKU_keıke _ARITY_1	máq	sI	1
▯ is a clitoris _BIAS _RAKU_leo _2_RAKU_keleo _ARITY_1	máq	sI	1
▯ is a stork _BIAS _RAKU_na _2_RAKU_kena _ARITY_1	hó	sI	1
▯ is a cnidarian jellyfish coral hydra etc _BIAS _RAKU_da _2_RAKU_neıda _ARITY_1	hó	sI	1
▯ pertains to the culture of kenya republic of kenya _BIAS _RAKU_nıa _2_RAKU_kenıa _ARITY_1 _CAPS	tá	sF	1
▯ is the country kenya republic of kenya _BIAS _RAKU_gua _2_RAKU_nıagua _ARITY_1 _CAPS	máq	sI	1
▯ is a deer of genus cervus _BIAS _RAKU_bo _2_RAKU_nobo _ARITY_1	hó	sI	1
▯ is sated satiated with respect to their urges to ▯ ▯ has had their fill of property ▯ _BIAS _RAKU_nhaq _2_RAKU_kenhaq _ARITY_2	hó	sI	2
▯ talks to ▯ _BIAS _RAKU_keoı _ARITY_2	hó	sA	2
▯ is a contact physical means through which to communicate remotely with someone or something _BIAS _RAKU_kea _2_RAKU_keoıkea _ARITY_1	hóq	sF	1
▯ is a conversation language _BIAS _RAKU_zu _2_RAKU_keoızu _ARITY_1	hóq	sI	1
▯ is a member of genus cygnus the swans _BIAS _RAKU_ko _2_RAKU_keoko _ARITY_1	hó	sI	1
▯ is an onion _BIAS _RAKU_pa _2_RAKU_kepa _ARITY_1	máq	sI	1
▯ are feces ▯ is excrement shit poo _BIAS _RAKU_keq _ARITY_1	máq	sI	1
▯ defecates shits _BIAS _RAKU_cıu _2_RAKU_keqcıu _ARITY_1	hó	sA	1
▯ is shitty in property ▯ _BIAS _RAKU_jeq _2_RAKU_keqjeq _ARITY_2	tá	sF	2
▯ is a shitpost _BIAS _RAKU_juo _2_RAKU_keqjuo _ARITY_1	hóq	sI	1
▯ is a shitter vulgar slang for toilet _BIAS _RAKU_kea _2_RAKU_keqkea _ARITY_1	máq	sI	1
▯ is a weed ▯ is a parasitic or otherwise undesirable plant _BIAS _RAKU_nıu _2_RAKU_keqnıu _ARITY_1	máq	sI	1
▯ fucks up makes a misstep with regrettable consequences steps on shit _BIAS _RAKU_pueq _2_RAKU_keqpueq _ARITY_1	hó	sI	1
▯ is a brain _BIAS _RAKU_ra _2_RAKU_kera _ARITY_1	máq	sI	1
▯ is neuroscience _BIAS _RAKU_dıu _2_RAKU_radıu _ARITY_1	hóq	sI	1
▯ is a tree or shrub of the citrus genus _BIAS _RAKU_ro _2_RAKU_kero _ARITY_1	máq	sI	1
▯ has brain gender ▯ _BIAS _RAKU_bo _2_RAKU_dabo _ARITY_2	hó	sI	2
▯ is a citrus fruit _BIAS _RAKU_zeo _2_RAKU_rozeo _ARITY_1	máq	sI	1
▯ is a member of the order cetacea the whales porpoises and dolphins _BIAS _RAKU_tea _2_RAKU_ketea _ARITY_1	hó	sI	1
▯ is vinegar as food an ingredient _BIAS _RAKU_zu _2_RAKU_kezu _ARITY_1	máq	sI	1
▯ is pickled _BIAS _RAKU_te _2_RAKU_zute _ARITY_1	tá	sF	1
▯ is a valve _BIAS _RAKU_'ao _2_RAKU_kı'ao _ARITY_1	máq	sI	1
▯ is red _BIAS _RAKU_kıa _ARITY_1	tá	sI	1
▯ is a monday _BIAS _RAKU_chaq _2_RAKU_kıachaq _ARITY_1	hóq	sI	1
▯ is the fruit of cornel cornelian cherry dogwood cornus mas _BIAS _RAKU_zeo _2_RAKU_gıazeo _ARITY_1	máq	sI	1
▯ looks after ▯ ▯ takes care of ▯ _BIAS _RAKU_kıaı _ARITY_2	hó	sA	2
▯ looks after ▯ ▯ takes care of ▯ _BIAS _RAKU_kıaı _ARITY_2	hó	sA	2
▯ is an attendant _BIAS _RAKU_che _2_RAKU_kıaıche _ARITY_1	hó	sI	1
▯ is a softdom _BIAS _RAKU_dı _2_RAKU_kıaıdı _ARITY_1	hó	sI	1
▯ is being gentle caring _BIAS _RAKU_sı _2_RAKU_kıaısı _ARITY_1	hó	sI	1
▯ is a major seventh maj7 chord _BIAS _RAKU_jo _2_RAKU_kıajo _ARITY_1	hóq	sI	1
▯ is infrared _BIAS _RAKU_kuoı _2_RAKU_kıakuoı _ARITY_1	tá	sI	1
▯ is copper _BIAS _RAKU_ha _2_RAKU_loha _ARITY_1	máq	sI	1
▯ is a watermelon _BIAS _RAKU_su _2_RAKU_kusu _ARITY_1	máq	sI	1
▯ is the planet mars _BIAS _RAKU_te _2_RAKU_nete _ARITY_1 _CAPS	máq	sI	1
▯ is a doorway _BIAS _RAKU_kıao _ARITY_1	máq	sI	1
▯ is a gatekeeper _BIAS _RAKU_che _2_RAKU_kıaoche _ARITY_1	hó	sI	1
▯ is a corridor _BIAS _RAKU_gıu _2_RAKU_kıaogıu _ARITY_1	máq	sI	1
▯ is a thyroid gland _BIAS _RAKU_sıu _2_RAKU_kıaosıu _ARITY_1	máq	sI	1
▯ is a door _BIAS _RAKU_toq _2_RAKU_kıaotoq _ARITY_1	máq	sI	1
▯ is a hair _BIAS _RAKU_kıaq _ARITY_1	máq	sI	1
▯ is hairless bald _BIAS _RAKU_cıa _2_RAKU_kıaqcıa _ARITY_1	tá	sI	1
▯ is a barber hairdresser hair stylist _BIAS _RAKU_che _2_RAKU_kıaqche _ARITY_1	hó	sI	1
▯ is a baleen whale _BIAS _RAKU_tea _2_RAKU_ketea _ARITY_1	hó	sI	1
▯ is a redcurrant ribes rubrum _BIAS _RAKU_ba _2_RAKU_rıba _ARITY_1	máq	sI	1
▯ is the reddish green color an impossible color _BIAS _RAKU_reo _2_RAKU_rıqreo _ARITY_1	hóq	sF	1
▯ is a major chord _BIAS _RAKU_saq _2_RAKU_kıasaq _ARITY_1	hóq	sI	1
▯ is a cherry fruit _BIAS _RAKU_se _2_RAKU_kıase _ARITY_1	máq	sI	1
▯ is a cherry tree _BIAS _RAKU_la _2_RAKU_sela _ARITY_1	máq	sI	1
▯ blushes _BIAS _RAKU_shaq _2_RAKU_kıashaq _ARITY_1	hó	sI	1
▯ is the case because of ▯ playing a part in contributing to being a factor in it _BIAS _RAKU_ba _2_RAKU_kıba _ARITY_2	hóq	sP	2
▯ is an antigen _BIAS _RAKU_tua _2_RAKU_butua _ARITY_1	máq	sI	1
▯ is a jellyfish _BIAS _RAKU_cıe _2_RAKU_kıcıe _ARITY_1	hó	sI	1
▯ is copper _BIAS _RAKU_do _2_RAKU_kıdo _ARITY_1	máq	sI	1
▯ is the copper age _BIAS _RAKU_me _2_RAKU_nıaqme _ARITY_1	hóq	sF	1
▯ is feels grateful _BIAS _RAKU_kıe _ARITY_1	hó	sI	1
▯ is thankful grateful to ▯ for satisfying property ▯ _BIAS _RAKU_kıe _ARITY_3	hó	sI	3
▯ feels resentment bitterness towards ▯ for action ▯ _BIAS _RAKU_gıq _2_RAKU_kıegıq _ARITY_3	hó	sI	3
▯ is ice _BIAS _RAKU_kıeı _ARITY_1	máq	sI	1
▯ is an ice cube _BIAS _RAKU_gam _2_RAKU_kıeıgam _ARITY_1	máq	sI	1
▯ is ice cold _BIAS _RAKU_koa _2_RAKU_kıeıkoa _ARITY_1	tá	sI	1
▯ says thanks to ▯ _BIAS _RAKU_kuq _2_RAKU_kıekuq _ARITY_2	hó	sA	2
▯ keeps ▯ the case _BIAS _RAKU_kıem _ARITY_2	hó	sA	2
▯ experiences disgust _BIAS _RAKU_kıeq _ARITY_1	hó	sI	1
▯ has recoiled in disgust ▯ cringes _BIAS _RAKU_gue _2_RAKU_kıeqgue _ARITY_1	hó	sI	1
▯ is quixotic pertaining to don quixote _BIAS _RAKU_te _2_RAKU_hote _ARITY_1	tá	sF	1
